Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
83,North Texas,CUSA,,,17,9,69.8,61.2,8.58,,-0.24,,-2.98,10.37,7.40,105.30,93.77,11.53
84,Nebraska,Big Ten,,,7,20,70.0,74.2,-4.26,,13.29,,3.84,3.26,7.10,102.64,91.34,11.30
85,Georgia,SEC,,,14,12,77.5,78.0,-0.50,,8.42,,9.87,-2.85,7.02,108.93,97.83,11.11
86,Vanderbilt,SEC,,,9,16,71.8,72.4,-0.60,,7.24,,4.92,1.72,6.64,109.55,99.24,10.31
87,Louisiana Tech,CUSA,,,21,7,73.5,64.6,8.89,,-1.53,,1.32,5.15,6.47,102.88,93.04,9.85
88,Furman,Southern,,,16,9,79.6,68.9,10.68,,-1.22,,5.02,1.44,6.46,110.05,100.47,9.57
89,Abilene Christian,Southland,,,23,4,77.6,60.5,17.11,,-8.46,,0.80,5.31,6.10,102.00,92.97,9.03
90,Rhode Island,A-10,,,10,15,71.4,71.1,0.36,,5.72,,3.75,2.33,6.08,103.87,94.71,9.16
91,Central Florida,AAC,,,11,12,67.2,69.4,-2.22,,8.24,,1.74,4.28,6.02,107.42,97.92,9.50
92,UC-Santa Barbara,Big West,,,22,4,76.5,62.8,13.69,,-4.31,,1.03,5.00,6.02,107.68,96.99,10.69
93,Marshall,CUSA,,,15,7,79.9,72.5,7.36,,-1.37,,9.11,-3.12,5.99,108.73,100.12,8.61
94,Massachusetts,A-10,,,8,7,76.7,73.0,3.73,,2.16,,8.23,-2.33,5.89,106.78,98.31,8.47
95,Ohio,MAC (East),,,16,7,80.9,73.3,7.61,,-1.16,,6.60,-0.71,5.89,110.82,102.72,8.11
96,Alabama-Birmingham,CUSA,,,22,7,72.6,60.3,12.31,,-3.79,,-0.79,6.63,5.84,103.18,94.19,8.99
97,Washington State,Pac-12,,,14,13,68.6,67.4,1.19,,4.64,,0.00,5.82,5.82,100.90,92.15,8.75
98,Butler,Big East,,,10,15,63.5,68.7,-5.16,,10.90,,-1.96,7.70,5.74,103.97,95.92,8.05
99,Western Kentucky,CUSA,,,20,7,73.1,67.9,5.22,,0.18,,2.46,2.94,5.41,105.31,97.13,8.17
100,Arizona State,Pac-12,,,11,14,74.3,77.1,-2.76,,8.13,,8.30,-2.93,5.37,107.75,99.33,8.42
101,Nevada,MWC,,,16,10,73.7,69.7,4.00,,2.01,,5.06,0.23,5.29,107.24,98.82,8.42
102,Missouri State,MVC,,,17,7,73.4,66.4,7.00,,0.07,,3.28,1.97,5.25,107.11,98.68,8.43
103,San Francisco,WCC,,,11,14,71.4,69.3,2.16,,3.00,,1.88,3.28,5.16,105.15,97.35,7.80
104,Winthrop,Big South,,,23,1,79.5,66.8,12.75,,-7.65,,6.73,-1.62,5.10,104.00,96.95,7.05
105,Army,Patriot,,,12,9,72.0,69.1,2.81,,4.77,,0.71,3.96,4.67,102.31,96.27,6.04
106,Loyola Marymount,WCC,,,13,9,69.5,68.0,1.50,,3.08,,0.42,4.16,4.58,106.97,99.20,7.77
107,Navy,Patriot,,,15,3,71.5,67.0,4.50,,0.03,,1.28,3.25,4.53,106.50,100.12,6.38
108,Liberty,A-Sun,,,23,5,74.9,59.6,15.25,,-6.70,,-0.71,5.01,4.30,109.84,101.39,8.45
109,Tulsa,AAC,,,11,12,68.4,65.6,2.78,,5.46,,-2.48,6.70,4.22,102.70,96.02,6.69
110,Cincinnati,AAC,,,12,11,68.9,72.1,-3.22,,7.42,,2.89,1.31,4.21,103.55,96.73,6.82
111,Miami (FL),ACC,,,10,17,66.4,71.0,-4.52,,8.65,,0.05,4.08,4.13,103.00,96.56,6.44
112,Belmont,OVC,,,26,4,81.3,69.1,12.17,,-8.29,,6.84,-2.95,3.88,109.04,103.25,5.80
113,North Carolina-Greensboro,Southern,,,21,8,73.6,67.4,6.17,,-2.29,,-0.01,3.89,3.88,102.67,96.21,6.46
114,Grand Canyon,WAC,,,17,6,75.6,61.1,14.48,,-5.78,,-2.77,6.59,3.83,103.45,95.99,7.46
115,South Carolina,SEC,,,6,15,72.5,79.1,-6.62,,10.41,,7.31,-3.52,3.79,104.45,97.58,6.87
116,DePaul,Big East,,,5,14,65.8,71.9,-6.16,,9.79,,-0.02,3.65,3.63,98.52,93.30,5.22
117,Pepperdine,WCC,,,12,12,76.3,74.6,1.67,,5.07,,6.88,-3.27,3.61,106.63,100.58,6.04
118,Duquesne,A-10,,,9,9,66.9,67.1,-0.17,,3.53,,-0.52,3.89,3.36,101.14,95.63,5.52
119,George Mason,A-10,,,13,9,71.3,69.9,1.41,,1.50,,0.61,2.32,2.93,101.06,96.37,4.69
120,Texas Christian,Big 12,,,12,14,66.8,71.2,-4.38,,7.21,,0.05,2.78,2.83,104.16,100.12,4.04
121,Akron,MAC (East),,,15,8,78.2,72.2,6.00,,-1.02,,3.23,-0.44,2.79,106.32,101.96,4.37
122,Vermont,AEC,,,10,5,73.0,63.4,9.60,,-6.81,,1.50,1.30,2.79,105.94,101.03,4.91
123,Temple,AAC,,,5,11,65.8,68.8,-3.00,,5.77,,-0.57,3.33,2.77,102.14,97.39,4.75
124,Wake Forest,ACC,,,6,16,66.3,72.0,-5.68,,9.05,,-0.57,3.29,2.72,102.86,99.28,3.58
125,Kent State,MAC (East),,,15,8,76.7,71.1,5.61,,-1.00,,3.13,-0.49,2.63,104.08,100.08,4.00
126,South Dakota State,Summit,,,16,7,80.4,73.5,6.96,,-2.69,,7.84,-5.21,2.63,109.62,104.90,4.72
127,UC-Riverside,Big West,,,14,8,70.2,63.6,6.55,,-4.00,,-1.81,4.35,2.55,101.88,96.64,5.23
128,University of California,Pac-12,,,9,20,65.4,69.2,-3.83,,7.34,,-2.80,5.28,2.48,104.14,100.27,3.87
129,Eastern Washington,Big Sky,,,16,7,78.0,69.4,8.61,,-5.45,,5.86,-3.40,2.46,105.60,102.22,3.38
130,Texas A&M,SEC,,,8,10,64.3,66.9,-2.67,,4.97,,-4.37,6.67,2.31,101.50,98.00,3.50
131,Indiana State,MVC,,,15,10,66.5,65.8,0.68,,2.13,,-2.42,4.67,2.25,102.03,97.73,4.31
132,Wofford,Southern,,,15,9,74.3,67.8,6.54,,0.19,,-0.07,2.26,2.19,105.30,101.34,3.97
133,East Tennessee State,Southern,,,13,12,69.4,66.2,3.28,,0.70,,-2.79,4.84,2.05,102.77,99.13,3.64
134,UC-Irvine,Big West,,,18,9,72.2,63.4,8.81,,-2.36,,-3.33,5.29,1.96,98.19,93.70,4.49
135,Weber State,Big Sky,,,17,6,81.8,69.3,12.48,,-6.45,,5.89,-3.99,1.90,106.60,104.05,2.55
136,Mercer,Southern,,,18,11,76.7,71.8,4.93,,-1.13,,2.46,-0.71,1.75,105.79,102.87,2.93
137,Loyola (MD),Patriot,,,6,11,72.1,70.9,1.18,,0.56,,-1.25,2.98,1.73,100.04,97.89,2.16
138,Boston College,ACC,,,4,16,71.4,79.5,-8.15,,9.84,,5.20,-3.52,1.69,105.58,101.95,3.63
139,Pacific,WCC,,,9,9,69.8,70.7,-0.89,,4.19,,-1.44,3.05,1.60,102.13,98.95,3.18
140,East Carolina,AAC,,,8,11,66.8,67.9,-1.16,,3.95,,-2.08,3.19,1.12,98.90,96.38,2.52
141,Boston University,Patriot,,,7,11,69.4,73.9,-4.56,,5.67,,-1.82,2.93,1.11,104.57,104.17,0.40
142,Tulane,AAC,,,10,13,63.9,66.5,-2.57,,3.60,,-3.42,4.46,1.04,99.82,97.44,2.38
143,Bowling Green State,MAC (East),,,14,11,78.5,75.4,3.08,,-1.31,,4.73,-3.70,1.03,104.50,102.91,1.59
144,Bryant,NEC,,,15,6,83.9,74.8,9.05,,-5.76,,6.71,-5.72,0.99,103.46,101.56,1.90
145,Texas-El Paso,CUSA,,,12,12,70.8,68.5,2.25,,1.09,,-0.65,1.54,0.90,102.37,100.28,2.09
146,Kansas State,Big 12,,,9,20,61.8,70.2,-8.45,,9.09,,-4.83,5.63,0.80,99.95,98.64,1.31
147,James Madison,CAA,,,13,7,78.1,70.5,7.65,,-2.33,,4.68,-3.94,0.73,103.86,102.06,1.80
148,Bradley,MVC,,,12,16,69.6,66.6,3.00,,1.34,,-2.21,2.70,0.50,102.44,101.00,1.45
149,Drexel,CAA,,,12,7,71.5,66.8,4.63,,-4.41,,-2.30,2.53,0.23,106.50,105.05,1.44
150,VMI,Southern,,,13,12,80.0,75.9,4.16,,-0.23,,5.32,-5.18,0.14,106.36,105.83,0.53
151,South Florida,AAC,,,9,13,65.9,71.4,-5.55,,6.39,,-1.89,1.99,0.10,100.95,100.47,0.48
152,Maryland-Baltimore County,AEC,,,14,6,69.6,64.9,4.65,,-4.78,,-2.59,2.46,-0.13,100.21,99.49,0.73
153,Holy Cross,Patriot,,,5,11,70.6,76.1,-5.44,,5.27,,1.81,-1.98,-0.17,102.49,103.53,-1.04
154,Northeastern,CAA,,,10,9,67.2,68.3,-1.11,,0.86,,-4.34,4.10,-0.24,97.98,97.59,0.39
155,Morehead State,OVC,,,23,7,68.8,63.4,5.43,,-4.55,,-5.96,5.52,-0.45,97.37,97.35,0.02
156,Iowa State,Big 12,,,2,22,65.6,76.7,-11.13,,10.59,,-0.34,-0.20,-0.54,100.49,100.25,0.24
157,Washington,Pac-12,,,5,21,67.7,77.4,-9.73,,9.18,,1.79,-2.34,-0.55,101.66,100.90,0.75
158,Southern Utah,Big Sky,,,20,4,84.2,69.5,14.67,,-7.02,,5.35,-6.05,-0.70,106.26,106.77,-0.51
159,Old Dominion,CUSA,,,15,8,68.3,67.7,0.65,,-0.50,,-2.26,1.53,-0.73,100.88,100.89,-0.01
160,Oral Roberts,Summit,,,16,10,81.8,75.8,6.00,,-2.58,,6.38,-7.14,-0.76,106.42,106.95,-0.54
161,Iona,MAAC,,,12,5,72.2,65.9,6.29,,-7.17,,-1.96,1.08,-0.87,99.73,100.28,-0.55
162,Ball State,MAC (West),,,10,13,74.7,75.5,-0.74,,-0.37,,2.14,-3.24,-1.11,100.98,102.22,-1.24
163,Chattanooga,Southern,,,18,8,72.6,69.3,3.35,,-2.50,,-1.84,0.72,-1.13,101.42,102.31,-0.89
164,North Dakota State,Summit,,,15,12,69.7,67.7,2.07,,-3.25,,-4.32,3.15,-1.17,101.47,101.70,-0.22
165,Georgia State,Sun Belt,,,16,6,80.3,72.7,7.64,,-4.13,,4.77,-6.00,-1.23,103.62,104.57,-0.95
166,Lafayette,Patriot,,,9,6,77.7,76.7,1.00,,-2.24,,6.23,-7.47,-1.24,107.29,109.71,-2.42
167,Santa Clara,WCC,,,12,8,69.7,70.6,-0.95,,0.95,,-1.24,-0.01,-1.26,98.24,98.95,-0.72
168,Nevada-Las Vegas,MWC,,,12,15,69.4,67.5,1.96,,1.14,,-2.07,0.73,-1.34,102.96,104.05,-1.09
169,Texas-San Antonio,CUSA,,,15,11,78.8,73.3,5.54,,-0.36,,5.02,-6.43,-1.41,104.89,105.77,-0.89
170,Wyoming,MWC,,,14,11,76.6,75.5,1.08,,-2.56,,5.38,-6.86,-1.48,107.20,109.22,-2.01
171,Northern Iowa,MVC,,,10,15,69.5,71.2,-1.64,,2.53,,0.78,-2.43,-1.65,102.09,103.65,-1.57
172,Cal State Bakersfield,Big West,,,15,11,69.7,64.0,5.62,,-3.95,,-5.52,3.82,-1.70,101.03,101.82,-0.79
173,South Dakota,Summit,,,14,11,76.0,72.2,3.76,,-4.06,,2.15,-3.96,-1.81,104.64,106.22,-1.58
174,Hofstra,CAA,,,13,10,73.2,73.0,0.17,,-2.02,,2.07,-3.92,-1.85,105.31,106.99,-1.68
175,Stephen F. Austin,Southland,,,16,5,80.3,70.7,9.62,,-8.71,,1.59,-3.46,-1.87,101.46,102.94,-1.48
176,Florida Atlantic,CUSA,,,13,10,78.1,66.8,11.26,,-4.77,,-0.85,-1.03,-1.88,100.26,102.98,-2.72
177,Miami (OH),MAC (East),,,12,11,72.3,71.6,0.70,,-1.96,,-1.70,-0.22,-1.91,104.03,106.65,-2.63
178,Bellarmine,A-Sun,,,13,7,74.3,65.4,8.95,,-6.24,,-1.32,-0.64,-1.96,108.00,109.25,-1.25
179,Coastal Carolina,Sun Belt,,,16,7,79.8,66.7,13.09,,-8.17,,-0.15,-2.02,-2.17,99.02,101.98,-2.96
180,Eastern Kentucky,OVC,,,22,7,81.8,73.7,8.10,,-7.79,,6.05,-8.28,-2.23,99.55,102.84,-3.29
181,New Mexico State,WAC,,,12,8,71.1,64.2,6.95,,-6.16,,-4.53,2.25,-2.28,103.63,105.75,-2.12
182,La Salle,A-10,,,9,16,68.1,73.5,-5.44,,4.08,,-0.52,-1.82,-2.34,101.02,103.81,-2.79
183,American,Patriot,,,4,6,69.1,73.6,-4.50,,2.04,,-0.39,-2.06,-2.46,99.34,103.57,-4.23
184,Murray State,OVC,,,13,13,76.4,66.9,9.50,,-7.80,,-2.95,0.49,-2.47,101.70,104.04,-2.34
185,Jacksonville State,OVC,,,18,9,74.3,68.6,5.70,,-5.65,,-1.88,-0.73,-2.61,102.08,104.77,-2.70
186,Hartford,AEC,,,15,8,65.9,63.3,2.61,,-5.37,,-5.51,2.75,-2.76,96.45,99.89,-3.44
187,Detroit Mercy,Horizon,,,12,10,76.5,74.0,2.55,,-5.31,,0.95,-3.72,-2.77,107.78,109.99,-2.21
188,Siena,MAAC,,,12,5,67.6,63.0,4.59,,-7.88,,-5.31,2.03,-3.29,98.79,102.45,-3.66
189,Gardner-Webb,Big South,,,11,15,70.7,68.4,2.27,,-5.58,,-2.28,-1.03,-3.31,102.99,105.78,-2.79
190,Mount St. Mary's,NEC,,,12,10,63.7,62.3,1.41,,-4.77,,-10.65,7.30,-3.36,94.90,99.14,-4.24
191,Wagner,NEC,,,13,7,71.3,68.7,2.55,,-5.92,,-3.10,-0.27,-3.37,100.40,103.91,-3.51
192,Sam Houston State,Southland,,,19,9,79.6,70.3,9.29,,-5.02,,0.09,-3.53,-3.44,99.57,103.18,-3.61
193,Southern Illinois,MVC,,,12,14,65.5,68.1,-2.54,,0.80,,-4.63,1.15,-3.48,99.09,103.43,-4.34
194,Fresno State,MWC,,,12,12,66.3,67.4,-1.13,,0.14,,-5.52,2.03,-3.50,98.89,103.54,-4.66
195,Saint Joseph's,A-10,,,5,15,72.2,82.6,-10.45,,6.91,,5.16,-8.70,-3.54,100.91,104.37,-3.46
196,Bucknell,Patriot,,,5,7,74.9,77.3,-2.42,,-1.29,,1.21,-4.91,-3.71,100.37,106.16,-5.80
197,Albany (NY),AEC,,,7,9,69.4,68.7,0.69,,-4.41,,-2.42,-1.30,-3.72,98.47,103.41,-4.94
198,Rice,CUSA,,,15,13,73.9,73.6,0.21,,-1.52,,0.94,-4.70,-3.76,103.42,107.97,-4.56
199,Valparaiso,MVC,,,10,18,65.0,67.9,-2.89,,1.43,,-5.97,2.06,-3.91,94.56,99.73,-5.17
200,Texas State,Sun Belt,,,18,7,66.4,61.7,4.68,,-7.45,,-8.61,4.68,-3.93,98.17,102.06,-3.89
201,Cleveland State,Horizon,,,19,7,71.5,70.6,0.88,,-4.97,,-5.20,1.11,-4.09,97.48,101.64,-4.16
202,College of Charleston,CAA,,,9,10,70.6,69.9,0.63,,-2.30,,-3.13,-1.00,-4.12,102.69,108.14,-5.45
203,Delaware,CAA,,,7,8,67.5,67.5,0.07,,-4.12,,-6.70,2.44,-4.27,95.86,101.16,-5.30
204,Utah Valley,WAC,,,11,11,74.2,74.3,-0.14,,-2.58,,0.19,-4.57,-4.38,99.71,104.59,-4.89
205,Hawaii,Big West,,,11,10,71.6,69.1,2.43,,-4.22,,-2.56,-1.93,-4.48,99.94,104.57,-4.63
206,Elon,CAA,,,10,9,65.7,65.0,0.74,,-3.61,,-7.18,2.69,-4.50,95.35,100.54,-5.19
207,George Washington,A-10,,,5,12,68.1,72.3,-4.18,,-0.44,,-0.14,-4.48,-4.62,101.52,108.15,-6.63
208,Saint Peter's,MAAC,,,14,11,63.2,61.5,1.72,,-6.38,,-10.10,5.44,-4.66,89.93,95.59,-5.67
209,Evansville,MVC,,,9,16,64.8,69.6,-4.84,,0.14,,-4.71,0.01,-4.70,104.98,111.27,-6.30
210,Norfolk State,MEAC,,,16,7,75.2,69.2,6.04,,-9.41,,-3.10,-1.74,-4.84,98.51,103.50,-4.98
211,Louisiana,Sun Belt,,,17,9,74.4,72.8,1.62,,-5.56,,0.38,-5.28,-4.89,98.03,104.00,-5.97
212,Montana,Big Sky,,,15,13,70.8,67.0,3.75,,-3.03,,-6.03,0.91,-5.12,96.16,103.05,-6.89
213,Monmouth,MAAC,,,12,8,76.1,74.3,1.75,,-6.94,,4.21,-9.40,-5.19,98.26,105.24,-6.98
214,Illinois State,MVC,,,7,18,72.0,74.8,-2.84,,0.62,,-1.75,-3.46,-5.21,97.79,104.13,-6.33
215,Stony Brook,AEC,,,9,14,66.2,65.6,0.57,,-3.86,,-6.70,1.43,-5.27,93.36,100.26,-6.90
216,Massachusetts-Lowell,AEC,,,11,12,68.5,70.9,-2.43,,-2.87,,-2.32,-2.99,-5.31,98.39,105.17,-6.78
217,Appalachian State,Sun Belt,,,17,11,70.9,64.5,6.43,,-5.24,,-5.11,-0.22,-5.33,97.84,105.71,-7.87
218,Missouri-Kansas City,Summit,,,11,13,70.1,62.6,7.54,,-3.12,,-11.74,6.36,-5.37,95.60,102.59,-7.00
219,Charlotte,CUSA,,,9,16,63.5,66.7,-3.24,,-2.13,,-9.13,3.75,-5.38,97.00,103.98,-6.98
